chat_id,timestamp,duration_min,num_turns,customer_sentiment,primary_intent,resolution_status,tenure_months,product_tier,churned_30d
CHT000000,25/05/2024 08:00,11,15,angry,cancellation_request,escalated,3,Basic,1
CHT000001,2024-01-18 00:00:00,24,11,frustrated,refund_request,escalated,3,Basic,0
CHT000002,30/01/2024 19:00,26,17,frustrated,billing_query,resolved,42,Basic,1
CHT000003,2024-11-02 20:00:00,15,8,angry,billing_query,unresolved,13,Premium,0
CHT000004,2024-12-28 03:00:00,9,17,neutral,technical_issue,escalated,13,Basic,0
CHT000005,202411050400,11,9,angry,billing_query,resolved,11,Standard,0
CHT000006,02/12/2024 20:00,8,10,neutral,general_enquiry,resolved,20,Premium,0
CHT000007,26/02/2024 22:00,18,5,satisfied,technical_issue,resolved,14,Basic,0
CHT000008,202405090900,3,10,neutral,refund_request,unresolved,18,Standard,0
CHT000009,202412040200,16,7,neutral,general_enquiry,escalated,47,Premium,0
CHT000010,05-21-2024 01:00 PM,14,10,angry,billing_query,resolved,25,Standard,0
CHT000011,2024-05-11 05:00:00,13,5,neutral,refund_request,escalated,4,Basic,0
CHT000012,202405210100,6,16,satisfied,billing_query,resolved,6,Basic,0
CHT000013,2024-07-17 10:00:00,4,9,frustrated,general_enquiry,unresolved,29,Standard,0
CHT000014,12/05/2024 08:00,6,11,satisfied,general_enquiry,unresolved,12,Standard,0
CHT000015,202408130200,11,13,frustrated,technical_issue,resolved,2,Standard,0
CHT000016,202404121900,11,7,satisfied,billing_query,resolved,1,Basic,0
CHT000017,202404012000,10,10,neutral,cancellation_request,resolved,3,Premium,0
CHT000018,202402250400,12,15,neutral,general_enquiry,escalated,10,Basic,0
CHT000019,2024-04-21 19:00:00,5,2,angry,technical_issue,unresolved,1,Premium,0
CHT000020,08-14-2024 10:00 PM,14,8,satisfied,technical_issue,unresolved,1,Basic,0
CHT000021,2024-02-22 01:00:00,2,7,,cancellation_request,resolved,23,Premium,1
CHT000022,02-06-2024 06:00 PM,30,2,,refund_request,resolved,47,Basic,0
CHT000023,202408160000,9,19,angry,cancellation_request,resolved,1,Basic,1
CHT000024,2024-03-17 20:00:00,39,15,angry,technical_issue,resolved,4,Basic,1
CHT000025,202401202100,10,5,neutral,general_enquiry,resolved,2,Standard,0
CHT000026,05-16-2024 04:00 AM,16,11,frustrated,cancellation_request,escalated,15,Standard,1
CHT000027,2024-07-19 18:00:00,47,8,neutral,general_enquiry,unresolved,28,Standard,0
CHT000028,202409202200,15,7,angry,cancellation_request,resolved,10,Basic,1
CHT000029,202409011300,6,7,satisfied,billing_query,resolved,1,Basic,0
CHT000030,05/02/2024 17:00,26,10,confused,technical_issue,unresolved,8,Standard,0
CHT000031,202401021200,15,1,frustrated,cancellation_request,escalated,3,Basic,0
CHT000032,03-03-2024 06:00 PM,4,18,neutral,billing_query,escalated,5,Premium,0
CHT000033,06-19-2024 09:00 PM,3,15,neutral,technical_issue,unresolved,2,Standard,0
CHT000034,2024-07-24 01:00:00,6,8,neutral,billing_query,resolved,8,Premium,0
CHT000035,07-06-2024 05:00 PM,41,18,neutral,general_enquiry,unresolved,14,Standard,0
CHT000036,02-11-2024 02:00 PM,13,14,neutral,general_enquiry,resolved,27,Premium,1
CHT000037,27/11/2024 06:00,11,6,satisfied,cancellation_request,resolved,8,Premium,1
CHT000038,202410100100,32,4,frustrated,general_enquiry,escalated,1,Premium,1
CHT000039,12-04-2024 06:00 AM,52,7,angry,billing_query,unresolved,20,Premium,0
CHT000040,2024-12-22 12:00:00,12,5,frustrated,billing_query,resolved,21,Standard,0
CHT000041,11-18-2024 10:00 PM,20,2,confused,technical_issue,resolved,2,Basic,0
CHT000042,202409060200,21,14,angry,technical_issue,resolved,11,Basic,0
CHT000043,2024-04-07 04:00:00,30,15,neutral,technical_issue,escalated,1,Premium,0
CHT000044,08/04/2024 00:00,11,13,satisfied,refund_request,resolved,17,Standard,0
CHT000045,2024-09-07 12:00:00,32,6,neutral,refund_request,resolved,41,Basic,0
CHT000046,10-03-2024 08:00 PM,3,14,confused,cancellation_request,escalated,9,Standard,0
CHT000047,202409121700,16,15,neutral,refund_request,resolved,11,Premium,0
CHT000048,01-09-2024 01:00 AM,5,15,satisfied,technical_issue,escalated,55,Standard,0
CHT000049,2024-01-29 10:00:00,7,10,satisfied,refund_request,resolved,23,Standard,0
CHT000050,26/07/2024 03:00,40,11,neutral,refund_request,resolved,41,Premium,0
CHT000051,202411302100,9,17,neutral,general_enquiry,resolved,2,Standard,0
CHT000052,13/12/2024 17:00,12,15,neutral,billing_query,unresolved,11,Basic,0
CHT000053,2024-10-23 07:00:00,10,19,frustrated,refund_request,resolved,6,Premium,0
CHT000054,19/01/2024 23:00,13,17,frustrated,billing_query,escalated,17,Basic,1
CHT000055,2024-09-07 20:00:00,28,16,confused,technical_issue,resolved,31,Premium,0
CHT000056,2024-08-29 19:00:00,11,18,neutral,billing_query,unresolved,2,Basic,0
CHT000057,04/05/2024 22:00,27,5,neutral,general_enquiry,escalated,23,Premium,0
CHT000058,2024-01-08 05:00:00,19,17,angry,general_enquiry,resolved,14,Standard,0
CHT000059,202406060300,4,5,angry,general_enquiry,resolved,1,Premium,0
CHT000060,2024-11-08 05:00:00,17,11,frustrated,billing_query,resolved,26,Premium,0
CHT000061,202402240300,32,10,frustrated,technical_issue,resolved,14,Basic,0
CHT000062,31/10/2024 19:00,12,2,frustrated,technical_issue,resolved,6,Basic,0
CHT000063,202402020600,15,13,satisfied,general_enquiry,resolved,2,Standard,0
CHT000064,202406212300,18,2,angry,refund_request,unresolved,4,Standard,0
CHT000065,15/06/2024 03:00,29,15,satisfied,cancellation_request,resolved,14,Standard,0
CHT000066,2024-06-13 06:00:00,39,3,neutral,technical_issue,unresolved,14,Standard,0
CHT000067,10-30-2024 05:00 AM,26,16,satisfied,general_enquiry,resolved,48,Premium,0
CHT000068,02-02-2024 03:00 AM,13,2,satisfied,refund_request,unresolved,4,Basic,0
CHT000069,13/03/2024 13:00,22,11,,cancellation_request,resolved,3,Basic,0
CHT000070,22/12/2024 11:00,25,15,angry,cancellation_request,resolved,33,Basic,0
