post_id,platform,text_length,language,topic,sentiment,likes,shares,hate_speech,spam,verified,follower_count
POST0000000,Twitter,36,en,finance,negative,14,0,0,0,0,117
POST0000001,Twitter,265,en,health,negative,0,1,0,0,0,914
POST0000002,Facebook,51,en-hi,health,positive,3,2,0,0,0,1081
POST0000003,Twitter,53,unknown,politics,neutral,8,1,0,0,0,615
POST0000004,Twitter,13,en,technology,mixed,126,0,0,0,1,411
POST0000005,Instagram,42,en,sports,neutral,2,0,0,0,0,303
POST0000006,Instagram,63,unknown,technology,neutral,17,0,0,0,0,1961
POST0000007,Twitter,86,en,finance,negative,2857,0,0,0,1,118
POST0000008,Twitter,128,en-ta,finance,positive,31,10,0,0,0,27
POST0000009,Twitter,182,en,technology,mixed,500,16,0,0,0,2464
POST0000010,Facebook,31,en,politics,negative,1,4,0,1,0,28
POST0000011,LinkedIn,98,en,politics,neutral,0,1,1,0,0,91
POST0000012,Instagram,40,en,sports,negative,0,2,0,0,0,942
POST0000013,Instagram,31,unknown,finance,negative,175,45,0,0,0,783
POST0000014,Facebook,116,en,health,positive,12,15,0,0,0,291
POST0000015,Twitter,97,en,sports,positive,10,0,0,0,0,6736
POST0000016,Twitter,133,en,technology,positive,629,0,0,1,0,2837
POST0000017,Facebook,143,en,politics,negative,177,0,0,0,0,326
POST0000018,Facebook,61,en,sports,negative,51,58,0,0,1,131
POST0000019,Instagram,216,en-ta,health,mixed,220,9,0,0,0,686
POST0000020,LinkedIn,43,en,politics,negative,14,0,0,0,0,588
POST0000021,Instagram,38,en,health,neutral,40,10,0,0,0,4338
POST0000022,Instagram,123,en,health,positive,1,849,0,0,0,271
POST0000023,LinkedIn,106,en,politics,negative,4,14,0,0,0,3139
POST0000024,LinkedIn,47,en,health,negative,11,0,0,1,0,28
POST0000025,Twitter,46,en,sports,positive,19,54,0,0,0,815
POST0000026,Instagram,121,en,politics,positive,144,5,1,0,1,97
POST0000027,Facebook,109,en,politics,negative,239,0,0,0,0,408
POST0000028,Twitter,39,en,politics,negative,6115,2,0,0,0,260
POST0000029,LinkedIn,53,en,finance,mixed,2000,1,0,0,0,43
POST0000030,Instagram,43,unknown,finance,positive,198,0,0,0,0,92
POST0000031,Twitter,16,unknown,politics,positive,1,0,0,0,1,159
POST0000032,Instagram,268,en,sports,positive,352,0,0,0,0,13230
POST0000033,Instagram,108,en,health,neutral,882,2,0,0,1,138
POST0000034,Instagram,227,en,sports,positive,26,13,0,0,0,9
POST0000035,Instagram,70,en,finance,neutral,0,0,0,0,0,91
POST0000036,LinkedIn,41,en,health,mixed,30,0,0,0,0,11
POST0000037,Twitter,44,en,finance,positive,120,3,0,0,0,49
POST0000038,LinkedIn,44,en,health,positive,32,1,0,0,0,3
POST0000039,Facebook,59,unknown,politics,positive,8,1,0,0,0,116
POST0000040,LinkedIn,26,en,politics,neutral,17,0,0,0,1,851
POST0000041,Twitter,66,en,politics,positive,266,0,0,0,0,176
POST0000042,Instagram,56,en,health,positive,51,0,0,0,0,196
POST0000043,Instagram,181,unknown,technology,neutral,382,0,0,0,0,66541
POST0000044,Twitter,138,en-ta,politics,neutral,177,5,0,0,0,120
POST0000045,Instagram,66,en,sports,positive,13,7,0,0,0,624
POST0000046,LinkedIn,131,en,politics,mixed,107,75,0,0,0,498
POST0000047,Twitter,37,en,finance,positive,406,8,0,0,0,670
POST0000048,Instagram,32,en-hi,politics,negative,27,2,0,0,0,119
POST0000049,LinkedIn,83,en,politics,negative,77,7,0,0,0,1868
POST0000050,Instagram,97,en,technology,neutral,0,1,0,1,0,4339
POST0000051,Twitter,80,en,technology,positive,8,0,1,0,0,460
POST0000052,Instagram,266,en,finance,negative,14,9,0,0,0,4152
POST0000053,Instagram,156,en,sports,negative,2,5,0,0,1,1188
POST0000054,Twitter,206,en,sports,positive,26,0,0,0,0,563
POST0000055,Twitter,57,en,health,neutral,597,2,0,0,0,50
POST0000056,Facebook,117,en-ta,technology,neutral,37,0,0,0,0,315
POST0000057,Instagram,39,en,finance,neutral,291,17,0,0,0,2953
POST0000058,Twitter,50,en,politics,neutral,82,1,0,0,0,185
POST0000059,LinkedIn,117,en,sports,negative,627,82,0,0,0,472
POST0000060,Instagram,44,en,health,negative,17,28,0,0,0,46
POST0000061,Twitter,47,en-ta,health,negative,5,0,0,0,0,848
POST0000062,Instagram,127,en,politics,positive,96,0,0,1,0,1019
POST0000063,Facebook,48,en,health,negative,0,10,0,0,0,43806
POST0000064,Facebook,194,en-hi,technology,positive,66,3,0,0,0,642
POST0000065,Twitter,75,en,finance,negative,0,1,0,0,0,737
